K,n_true,n,rho,umbral_bf,p_any,p_true
14,1,72,0.4,6,0.64825,0.63475
14,1,72,0.4,10,0.57225,0.56275
14,1,85,0.0,4,0.07925,
14,1,85,0.0,6,0.0525,
14,1,85,0.0,10,0.03225,
14,1,85,0.3,4,0.48175,0.44375
14,1,85,0.3,6,0.41375,0.38575
14,1,85,0.3,10,0.33575,0.31725
14,1,85,0.4,4,0.802,0.78825
14,1,85,0.4,6,0.748,0.73875
14,1,85,0.4,10,0.6855,0.67925
14,1,100,0.0,4,0.07025,
14,1,100,0.0,6,0.04675,
14,1,100,0.0,10,0.02525,
14,1,100,0.3,4,0.5635,0.541
14,1,100,0.3,6,0.4965,0.481
14,1,100,0.3,10,0.42275,0.41375
14,1,100,0.4,4,0.88525,0.877
14,1,100,0.4,6,0.846,0.8405
14,1,100,0.4,10,0.80275,0.7985
14,1,120,0.0,4,0.063,
14,1,120,0.0,6,0.04025,
14,1,120,0.0,10,0.02275,
14,1,120,0.3,4,0.6695,0.6495
14,1,120,0.3,6,0.6115,0.59825
14,1,120,0.3,10,0.53975,0.52875
14,1,120,0.4,4,0.94675,0.94525
14,1,120,0.4,6,0.93,0.92875
14,1,120,0.4,10,0.89875,0.897
14,1,140,0.0,4,0.061,
14,1,140,0.0,6,0.0375,
14,1,140,0.0,10,0.0215,
14,1,140,0.3,4,0.755,0.7445
14,1,140,0.3,6,0.7045,0.6965
14,1,140,0.3,10,0.64675,0.641
14,1,140,0.4,4,0.97375,0.97275
14,1,140,0.4,6,0.965,0.96325
14,1,140,0.4,10,0.9475,0.946
14,1,160,0.0,4,0.0495,
14,1,160,0.0,6,0.03575,
14,1,160,0.0,10,0.0205,
14,1,160,0.3,4,0.823,0.815
14,1,160,0.3,6,0.77525,0.771
14,1,160,0.3,10,0.7295,0.72725
14,1,160,0.4,4,0.99125,0.99125
14,1,160,0.4,6,0.98725,0.98725
14,1,160,0.4,10,0.9795,0.9795
