K,n_total,n_por_grupo,d,d_h,umbral_bf,p_any,p_true
20,120,60,0.7,0.0,6,0.6785,0.66475
20,120,60,0.7,0.0,10,0.60975,0.601
20,120,60,0.8,0.0,4,0.85825,0.84675
20,120,60,0.8,0.0,6,0.82275,0.81325
20,120,60,0.8,0.0,10,0.77375,0.76725
20,120,60,1.0,0.0,4,0.9815,0.979
20,120,60,1.0,0.0,6,0.96925,0.968
20,120,60,1.0,0.0,10,0.95275,0.95175
20,160,80,0.0,0.0,4,0.07525,
20,160,80,0.0,0.0,6,0.0485,
20,160,80,0.0,0.0,10,0.026,
20,160,80,0.5,0.0,4,0.54675,0.509
20,160,80,0.5,0.0,6,0.477,0.448
20,160,80,0.5,0.0,10,0.3975,0.379
20,160,80,0.65,0.0,4,0.83475,0.821
20,160,80,0.65,0.0,6,0.78775,0.77725
20,160,80,0.65,0.0,10,0.7355,0.72725
20,160,80,0.7,0.0,4,0.89275,0.88275
20,160,80,0.7,0.0,6,0.8555,0.84875
20,160,80,0.7,0.0,10,0.81525,0.80975
20,160,80,0.8,0.0,4,0.9605,0.956
20,160,80,0.8,0.0,6,0.94925,0.9455
20,160,80,0.8,0.0,10,0.9285,0.9255
20,160,80,1.0,0.0,4,0.997,0.997
20,160,80,1.0,0.0,6,0.9965,0.99625
20,160,80,1.0,0.0,10,0.99525,0.995
