n_por_grupo,d,p_bf3,p_bf6,p_bf10,p_nulo
90,0.5,0.7968404357840368,0.7070989014332942,0.6374391458583007,0.017759272146385372
90,0.65,0.9662043147542182,0.9382395133948745,0.9107374592261372,0.0009469882571380482
90,0.8,0.9976360687479402,0.9943830580227208,0.9903304861877216,1.9749751335127787e-05
90,1.0,,,,2.531687691393931e-08
92,0.0,0.012514210509994803,0.005514655247168604,0.003044016033090411,0.789566582381859
92,0.5,0.8064137267719129,0.7190166750337535,0.6506177939701133,0.016523897494761065
92,0.65,0.9694856305782198,0.9436732679338409,0.9180265186304112,0.0008259014279076515
92,0.8,0.9980228088007843,0.995239810718962,0.9917301291688148,1.5792138727555736e-05
92,1.0,,0.9999583257844411,0.9999066992428228,1.7415635819113803e-08
94,0.0,0.012412067679664778,0.0054745049491017085,0.0030236060873186205,0.7923665659792918
94,0.5,0.8156108290651692,0.7305704415472795,0.663475941567325,0.015369935227769645
94,0.65,0.9724679566794985,0.948670220860935,0.9247852351373446,0.0007199674119623061
94,0.8,0.9983479792786165,0.9959706006440313,0.9929361194031798,1.2619502018303815e-05
94,1.0,0.999991355376085,0.9999691459293739,,1.1969589235870655e-08
96,0.0,0.012312307370631178,0.00543517781856724,0.00300357212842347,0.795066635893231
96,0.5,0.8244411149766363,0.7417631061407165,0.6760110975809959,0.014292481281989728
96,0.65,0.9751761003791346,0.953260639482744,0.9310448933363097,0.0006273415300253231
96,0.8,0.9986210577668891,0.9965930896006191,0.9939736810496356,1.0077973851496992e-05
96,1.0,0.999993715641764,,0.9999477305719533,8.219416317240884e-09
98,0.0,0.012214838112511513,0.005396646988771342,0.0029839037801179984,0.7976725243068001
98,0.5,0.832914151747765,0.7525982164912732,0.6882216345454486,0.013286874859199783
98,0.65,0.9776331170602499,0.957473275397577,0.9368357822269331,0.0005463954305053546
98,0.8,0.9988501247029399,0.9971226187575253,0.9948650281605536,8.0434308483209e-06
98,1.0,0.9999954377633994,,,5.63942761231219e-09
100,0.0,0.012119573293658422,0.005358886736251206,0.002964590980912228,0.8001895146441123
100,0.5,0.8410396555762006,0.7630799048693436,0.7001067357543618,0.012348693311700843
100,0.65,0.9798603939120076,0.9613353650644857,0.9421871146300685,0.00047569308563586365
100,0.8,0.9990420575523358,0.997572485096633,0.995629675046836,6.415839378034535e-06
100,1.0,0.9999966924092843,0.9999875968245645,,3.8660843677370206e-09
102,0.0,0.01202643083403199,0.005321872426081215,0.002945623979926657,0.8026224857268718
102,0.5,0.8488274491803464,0.7732128327188685,0.7116663432592484,0.011473745916764897
102,0.65,0.9818777354680182,0.9648726430879236,0.9471269662236786,0.0004139692124868796
102,0.8,0.9992027002673155,0.9979541902315093,0.9962847235925563,5.114653993714525e-06
102,1.0,0.9999976051560464,,0.9999783570426068,2.648251945420204e-09
104,0.0,0.01193533288453053,0.005285580459369001,0.0029269933330990376,0.8049759507132652
104,0.5,0.8562874227470202,0.7830021377625239,0.7229011070176158,0.010658066817043954
104,0.65,0.9837034497833876,0.9681093661731427,0.9516822320462252,0.00036010991900204027
104,0.8,0.9993370107273476,0.9982776633197779,,4.075077789372138e-06
104,1.0,,0.9999932945999052,,1.8126246786363455e-09
106,0.0,0.011846205550302268,0.005249988223073071,0.00290868989737632,0.8072540915908828
106,0.5,0.8634294981105742,0.7924533836430651,0.7338123352279134,0.00989790736032903
106,0.65,0.9853544342839619,0.9710683459124374,0.9558785983587309,0.00031313538234900383
106,0.8,0.9994491886592777,0.9985514599161989,0.9973239334213788,3.2450272391590153e-06
106,1.0,,0.9999950802580159,0.9999880712648884,1.239725680724211e-09
108,0.0,0.011758978635821428,0.005215074042921522,0.002890704824202312,0.8094607897395263
108,0.5,0.8702635960108935,0.8015725121116679,0.7444019460110972,0.009189728016815413
108,0.65,0.9868462604884275,0.9737709887593563,0.9597405279527937,0.00027218437533849674
108,0.8,0.9995427863256329,0.9987829386664804,0.9977325010300165,2.5826718684770666e-06
108,1.0,,,0.9999911640438881,8.472674566664859e-10
110,0.0,0.011673585409743352,0.005180817134694639,0.0028730295523586064,0.8115996531325966
110,0.5,0.8767996062777215,0.810365797663893,0.7546724205347496,0.008530190030545596
110,0.65,0.9881932569515627,0.9762373417085118,0.9632912571197547,0.000236500467991813
110,0.8,0.9996208040613764,0.9989784177380435,0.9980807008818684,2.054442246277288e-06
110,1.0,0.9999993499874383,0.9999973624852987,0.9999934644753552,5.786292635664213e-10
112,0.0,0.01158996238775751,0.005147197565632921,0.0028556558003399765,0.8136740405868037
112,0.5,0.8830473607897192,0.8188398048065931,0.764626757664742,0.007916146925752588
112,0.65,0.989408589906637,0.9784861424340666,0.9665528026422112,0.0002054197424241166
112,0.8,0.9996857725368263,,0.9983770934197238,1.633418961573298e-06
112,1.0,0.9999995322208569,0.9999980726633276,0.9999951728587262,3.948867608849889e-10
114,0.0,0.011508049131838703,0.005114196210248167,0.0028385755584116315,0.8156870834343508
114,0.5,0.8890166090583557,0.8270013476384188,0.7742684302135378,0.007344635967989947
114,0.65,0.9905043411982589,0.9805348726868772,0.969545977309823,0.00017835987116789233
114,0.8,0.9997398234310543,0.9992822586412259,0.9986290891232478,1.2980311108463715e-06
114,1.0,,0.999998593427386,0.9999964396186785,2.6930480986095855e-10
116,0.0,0.011427788064457298,0.005081794711486194,0.0028217810804679944,0.8176417049352867
116,0.5,0.8947169962891212,0.8348574518970258,0.7836013428395524,0.006812869660295672
116,0.65,0.9914915831953319,0.9823998140044616,0.9722904125977593,0.0001548104208469379
